АНАТОМИЯ,Здоровье и медицина,обычный
СКЕЛЕТ,Здоровье и медицина,обычный
МЫШЦА,Здоровье и медицина,обычный
НЕРВ,Здоровье и медицина,повышенный
АРТЕРИЯ,Здоровье и медицина,обычный
ВЕНА,Здоровье и медицина,обычный
СЕРДЦЕ,Здоровье и медицина,обычный
ЛЕГКОЕ,Здоровье и медицина,обычный
ПЕЧЕНЬ,Здоровье и медицина,обычный
ПОЧКА,Здоровье и медицина,обычный
ЖЕЛУДОК,Здоровье и медицина,обычный
МОЗГ,Здоровье и медицина,обычный
КОЖА,Здоровье и медицина,обычный
КОСТЬ,Здоровье и медицина,обычный
СУСТАВ,Здоровье и медицина,обычный
СУХОЖИЛИЕ,Здоровье и медицина,повышенный
СВЯЗКА,Здоровье и медицина,обычный
ГОРТАНЬ,Здоровье и медицина,повышенный
ТРАХЕЯ,Здоровье и медицина,повышенный
ПИЩЕВОД,Здоровье и медицина,обычный
КИШЕЧНИК,Здоровье и медицина,обычный
СЕЛЕЗЕНКА,Здоровье и медицина,повышенный
ПОДЖЕЛУДОЧНАЯ ЖЕЛЕЗА,Здоровье и медицина,повышенный
МОЧЕВОЙ ПУЗЫРЬ,Здоровье и медицина,повышенный
ЖЕЛЧНЫЙ ПУЗЫРЬ,Здоровье и медицина,повышенный
ГИПОФИЗ,Здоровье и медицина,повышенный
ЩИТОВИДНАЯ ЖЕЛЕЗА,Здоровье и медицина,повышенный
НАДПОЧЕЧНИК,Здоровье и медицина,повышенный
ЛИМФАТИЧЕСКИЙ УЗЕЛ,Здоровье и медицина,повышенный
АОРТА,Здоровье и медицина,повышенный
КАПИЛЛЯР,Здоровье и медицина,обычный
АЛЬВЕОЛА,Здоровье и медицина,повышенный
БРОНХ,Здоровье и медицина,повышенный
ДИАФРАГМА,Здоровье и медицина,повышенный
ЭПИДЕРМИС,Здоровье и медицина,повышенный
КЛЕТЧАТКА,Здоровье и медицина,повышенный
ЧЕРЕП,Здоровье и медицина,обычный
ПОЗВОНОЧНИК,Здоровье и медицина,обычный
ГРУДНАЯ КЛЕТКА,Здоровье и медицина,обычный
КЛЮЧИЦА,Здоровье и медицина,обычный
ЛОПАТКА,Здоровье и медицина,обычный
ЛУЧЕВАЯ КОСТЬ,Здоровье и медицина,повышенный
КОЛЕННАЯ ЧАШЕЧКА,Здоровье и медицина,обычный
ФАЛАНГА,Здоровье и медицина,повышенный
РЕБРО,Здоровье и медицина,обычный
КОПЧИК,Здоровье и медицина,обычный
КРЕСТЕЦ,Здоровье и медицина,повышенный
МЕЖПОЗВОНОЧНЫЙ ДИСК,Здоровье и медицина,повышенный
СПИННОЙ МОЗГ,Здоровье и медицина,обычный
СЕРДЕЧНАЯ МЫШЦА,Здоровье и медицина,обычный
ТРЕХГЛАВАЯ МЫШЦА,Здоровье и медицина,повышенный
КОСАЯ МЫШЦА ЖИВОТА,Здоровье и медицина,повышенный
ГОЛОСОВЫЕ СВЯЗКИ,Здоровье и медицина,обычный
ЭПИТЕЛИЙ,Здоровье и медицина,повышенный
НЕЙРОН,Здоровье и медицина,повышенный
ГЛИЯ,Здоровье и медицина,повышенный
СИНАПС,Здоровье и медицина,повышенный
АКСОН,Здоровье и медицина,повышенный
ДЕНДРИТ,Здоровье и медицина,повышенный
МИЕЛИН,Здоровье и медицина,повышенный
СИНАПТИЧЕСКАЯ ЩЕЛЬ,Здоровье и медицина,повышенный
НЕЙРОМЕДИАТОР,Здоровье и медицина,повышенный
РЕЦЕПТОР,Здоровье и медицина,повышенный
ШЕРСТЬ,Флора и фауна,обычный
ПЕРО,Флора и фауна,обычный
ЧЕШУЯ,Флора и фауна,обычный
КОПЫТО,Флора и фауна,обычный
КОГТИ,Флора и фауна,обычный
КЛЮВ,Флора и фауна,обычный
ХОБОТ,Флора и фауна,обычный
ЖАБРЫ,Флора и фауна,обычный
ПЛАВНИК,Флора и фауна,обычный
КРЫЛЬЯ,Флора и фауна,обычный
ХВОСТ,Флора и фауна,обычный
УСИКИ,Флора и фауна,обычный
ГЛАЗ,Флора и фауна,обычный
УШИ,Флора и фауна,обычный
НОЗДРИ,Флора и фауна,обычный
РОТ,Флора и фауна,обычный
ЯЗЫК,Флора и фауна,обычный
ЗУБЫ,Флора и фауна,обычный
АНУС,Флора и фауна,обычный
ПЛАЦЕНТА,Флора и фауна,повышенный
МОЛОЧНЫЕ ЖЕЛЕЗЫ,Флора и фауна,повышенный
НЕРВНАЯ СИСТЕМА,Флора и фауна,повышенный
ЭНДОКРИННАЯ СИСТЕМА,Флора и фауна,повышенный
ИММУННАЯ СИСТЕМА,Флора и фауна,повышенный
РЕПРОДУКТИВНАЯ СИСТЕМА,Флора и фауна,повышенный
ТИМУС,Флора и фауна,повышенный
РЕФЛЕКС,Флора и фауна,обычный
ГОРМОН,Флора и фауна,повышенный
ФЕРМЕНТ,Флора и фауна,повышенный
АНТИГЕН,Флора и фауна,повышенный
АНТИТЕЛО,Флора и фауна,повышенный
ЛЕЙКОЦИТ,Флора и фауна,повышенный
ЭРИТРОЦИТ,Флора и фауна,повышенный
ТРОМБОЦИТ,Флора и фауна,повышенный
ПЛАЗМА,Флора и фауна,повышенный
ГЕМОГЛОБИН,Флора и фауна,повышенный
КОЛЛАГЕН,Флора и фауна,повышенный
КРЕАТИН,Флора и фауна,повышенный
МЕЛАНИН,Флора и фауна,повышенный
